rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,EDINBURGH,32189,32189,0,31199,31199,0,3.17318
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,GLASGOW,24765,24765,0,24598,24598,0,0.67892
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,GUERNSEY,2283,2283,0,1983,1983,0,15.12859
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,HAWARDEN,265,11,254,402,0,402,-34.0796
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,INVERNESS,9151,9151,0,6634,6634,0,37.94091
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,ISLE OF MAN,2297,2297,0,2456,2456,0,-6.47394
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,JERSEY,2709,2709,0,2992,2992,0,-9.45856
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,MANCHESTER,158,158,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,NEWCASTLE,14111,14111,0,15221,15221,0,-7.29256
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,NORWICH,33,33,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,SOUTHEND,4,4,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CAMPBELTOWN,GLASGOW,795,795,0,766,766,0,3.7859
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,ABERDEEN,64,64,0,75,75,0,-14.66667
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,ANGLESEY (VALLEY),790,790,0,1019,1019,0,-22.47301
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,BELFAST CITY (GEORGE BEST),3990,3990,0,3707,3707,0,7.63421
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,BELFAST INTERNATIONAL,39,0,39,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,DONCASTER SHEFFIELD,118,0,118,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,DURHAM TEES VALLEY,0,0,0,49,0,49,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,EDINBURGH,8323,8323,0,8219,8219,0,1.26536
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,GLASGOW,3407,3407,0,2558,2517,41,33.18999
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,INVERNESS,120,120,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,JERSEY,1526,1526,0,772,772,0,97.66839
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,LIVERPOOL (JOHN LENNON),40,0,40,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,LONDON CITY,3962,3962,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,LUTON,81,0,81,78,0,78,3.84615
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,NEWCASTLE,1226,1226,0,1298,1246,52,-5.547
23/12/2016 09:40,201610,201510,Other Reporting Airports,CARDIFF WALES,STANSTED,0,0,0,146,0,146,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,CITY OF DERRY (EGLINTON),GLASGOW,7037,7037,0,6797,6797,0,3.53097
23/12/2016 09:40,201610,201510,Other Reporting Airports,CITY OF DERRY (EGLINTON),LIVERPOOL (JOHN LENNON),7408,7408,0,6295,6295,0,17.6807
23/12/2016 09:40,201610,201510,Other Reporting Airports,CITY OF DERRY (EGLINTON),LUTON,0,0,0,37,0,37,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,CITY OF DERRY (EGLINTON),STANSTED,9548,9548,0,11235,11235,0,-15.01558
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,CARDIFF WALES,124,0,124,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,EXETER,2,2,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,GATWICK,49,0,49,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,JERSEY,3895,3895,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,LUTON,0,0,0,58,0,58,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,DONCASTER SHEFFIELD,NEWQUAY,127,127,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DUNDEE,STANSTED,1781,1781,0,1993,1993,0,-10.63723
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,ABERDEEN,1594,1594,0,2205,2205,0,-27.70975
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,BOURNEMOUTH,74,40,34,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,CARDIFF WALES,0,0,0,49,0,49,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,FARNBOROUGH,0,0,0,40,0,40,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,GATWICK,0,0,0,30,0,30,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,HUMBERSIDE,28,28,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,LUTON,83,41,42,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,DURHAM TEES VALLEY,NORWICH,0,0,0,15,15,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,ABERDEEN,508,508,0,1187,1187,0,-57.20303
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,BELFAST CITY (GEORGE BEST),13394,13394,0,12584,12584,0,6.43675
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,BIRMINGHAM,175,175,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,BRISTOL,170,170,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,EDINBURGH,8475,8475,0,8400,8400,0,0.89286
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,FARNBOROUGH,0,0,0,36,0,36,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,GATWICK,0,0,0,38,0,38,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,GLASGOW,9544,9544,0,8383,8383,0,13.84946
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,GUERNSEY,2429,2429,0,2551,2551,0,-4.78244
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,JERSEY,2704,2704,0,2719,2719,0,-0.55167
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,NORWICH,0,0,0,11,11,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,WICK JOHN O GROATS,43,43,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,BELFAST CITY (GEORGE BEST),14606,14606,0,12494,12494,0,16.90411
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,BELFAST INTERNATIONAL,24270,24270,0,24027,23932,95,1.01136
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,BIRMINGHAM,22253,22253,0,23946,23816,130,-7.07007
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,BRISTOL,32282,32282,0,31293,31293,0,3.16045
23/12/2016 09:40,201610,201510,Other Reporting Airports,EDINBURGH,CARDIFF WALES,8118,8118,0,8362,8362,0,-2.91796
