"Passenger Movement (Number) by Irish Airport, Direction, Foreign",,,
Airport and Month,,,
,,,
 , , ,2016M09
"Donegal (CFN),Republic Of Ireland",,,
 ,Inward,,
 , ,"Lynham Raf (LYE),Great Britain",0
 , ,"Lyon - Bron (LYN),France",0
 , ,"Longyearbyen (LYR),Norway",0
 , ,"Lyon - Satolas (LYS),France",0
 , ,"Lydd (LYX),Great Britain",0
 , ,"Madras - Chennai (MAA),India",0
 , ,"Madrid (MAD),Spain",0
 , ,"Mahon (MAH),Spain",0
 , ,"Manchester (MAN),Great Britain",0
 , ,"Montego Bay (MBJ),Jamaica",0
 , ,"Saginaw Tri City Intl (MBS),USA",0
 , ,"Maribor (MBX),Slovenia",0
 , ,"Merced Municipal (MCE), USA",0
 , ,"Orlando Intl (MCO),USA",0
 , ,"Muscat (MCT),Oman",0
 , ,"Montlucon (MCU),France",0
 , ,"Medellin - Jose Maria Cordova Airport (MDE),Colombia",0
 , ,"Mandalay Intl (MDL), Myanmar",0
 , ,"Harrisburg Intl (MDT), USA",0
 , ,"Chicago - Midway (MDW),USA",0
 , ,"Manta Eloy Alfaro Intl (MEC),Ecuador",0
 , ,"Madinah (MED),Saudi Arabia",0
 , ,"Melbourne (MEL),Australia",0
 , ,"Memphis Intl (MEM),USA",0
 , ,"Mexico City (MEX),Mexico",0
 , ,"Managua (MGA),Nicaragua",0
 , ,"Dusseldorf Monchen-Gladbach (MGL),Germany",0
 , ,"Mannheim (MHG),Germany",0
 , ,"Manchester Municipal (MHT),USA",0
 , ,"Mildenhall (MHZ),Great Britain",0
 , ,"Miami (MIA),USA",0
 , ,"Milan-Uncoded (MIL),Italy",0
 , ,"Monastir (MIR),Tunisia",0
 , ,"Mitiga (MJI),Libyan Arab Jamahiriya",0
